name,accuracy,precision_binary,recall_binary,precision_weighted,recall_weighted,correct,wrong
KNN (k= 3),0.8690476190476191,0.7848101265822784,0.8551724137931035,0.8732273419562047,0.8690476190476191,365,55
KNN (k= 5),0.8785714285714286,0.8092105263157895,0.8482758620689655,0.8803830939288521,0.8785714285714286,369,51
KNN (k= 11),0.8952380952380953,0.8344370860927153,0.8689655172413793,0.8965942515759103,0.8952380952380953,376,44
Naive Bayes,0.8452380952380952,0.7702702702702703,0.7862068965517242,0.8460649462487698,0.8452380952380952,355,65
MLP,0.8952380952380953,0.821656050955414,0.8896551724137931,0.8985954508707651,0.8952380952380953,376,44
Decision Tree,0.8452380952380952,0.7666666666666667,0.7931034482758621,0.8466931216931216,0.8452380952380952,355,65
