experiment_name,classifier,preprocessing,best_validation_accuracy,test_accuracy,macro_f1,weighted_f1
diagnosis_mlp_zscore,mlp_classifier,zscore,0.925,0.9035714285714286,0.8942819985736461,0.9032356660413882
diagnosis_shallow_zscore,shallow_mlp_classifier,zscore,0.9071428571428571,0.8892857142857142,0.8807282720714531,0.8898562104333316
diagnosis_mlp_minmax,mlp_classifier,minmax,0.9178571428571428,0.8821428571428571,0.867528780949377,0.8801000292878545
diagnosis_linear_minmax,linear_classifier,minmax,0.7571428571428571,0.8,0.7512058898197512,0.7826859609037827
diagnosis_linear_zscore,linear_classifier,zscore,0.7642857142857142,0.7892857142857143,0.7428353492426718,0.7740624854060617
