experiment_name,classifier,preprocessing,best_validation_accuracy,test_accuracy,macro_f1,weighted_f1
iris_mlp_zscore,mlp_classifier,zscore,0.9666666666666667,0.9666666666666667,0.9665831244778613,0.9665831244778613
iris_linear_zscore,linear_classifier,zscore,0.9333333333333333,0.9333333333333333,0.9333333333333332,0.9333333333333333
iris_linear_minmax,linear_classifier,minmax,0.9333333333333333,0.9333333333333333,0.9333333333333332,0.9333333333333333
new_iris_mlp_zscore,mlp_classifier,zscore,0.9333333333333333,0.9333333333333333,0.9333333333333332,0.9333333333333333
iris_mlp_minmax,mlp_classifier,minmax,0.9666666666666667,0.9333333333333333,0.9326599326599326,0.9326599326599326
iris_shallow_zscore,shallow_mlp_classifier,zscore,0.9333333333333333,0.9,0.899749373433584,0.8997493734335839
